smiles,gsk3b_activity,jnk3_activity
O=C1Nc2ccccc2C1=Cc1c(Cl)[nH]c2ccccc12,1.0,1.0
O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1c1nc(N2CCNCC2)nc2ccccc12,1.0,1.0
O=C1NC(=O)C2=C1c1cn(c3ccccc13)CCCc1cc(nc(N3CCCC3)c1)CCCn1cc2c2ccccc21,1.0,1.0
CNC(=O)c1ccccc1Sc1ccc2c(C=Cc3ccccn3)n[nH]c2c1,1.0,1.0
Cn1nc(N)c2cn(C3OC(CO)C(O)C3O)c3ncnc1c23,1.0,1.0
CN(C(Cc1ccc(OS(=O)(=O)c2cccc3cnccc23)cc1)C(=O)N1CCN(c2ccccc2)CC1)S(=O)(=O)c1cccc2cnccc12,1.0,1.0
NCCCn1cc(-c2cc(-c3cc4ccccc4s3)c3[nH]ncc3c2)c2nc(N)ncc21,1.0,1.0
O=C(Nc1cccc(Nc2cc(Nc3cccc(C(F)(F)F)c3)ncn2)c1)C1CC1,1.0,1.0
N#CC(=Cc1ccc(O)c(O)c1)C(=O)NCc1ccccc1,1.0,1.0
O=S(=O)(NCCNCC=Cc1ccc(Br)cc1)c1cccc2cnccc12,1.0,1.0
COc1cc(OC)c(C=C2C(=O)Nc3ccccc32)c(OC)c1,1.0,1.0
C=S(O)(O)=CCCOc1cccc2c1ccn2-c1ccnc(NC2CCC(C(=O)N3CCC(O)CC3)CC2)n1,1.0,1.0
Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCCC1,1.0,1.0
COc1cc2c(cc1Cl)C(c1cccc(Cl)c1)=NCC2,1.0,1.0
O=C(CCCc1ccc(-c2ccccc2F)cc1)Nc1ccc(O)cc1,1.0,1.0
Nc1n[nH]c2nc3ccccc3nc12,1.0,1.0
NC(=O)c1ccc(-c2nc(-c3ccc4c(c3)OCO4)c(-c3ccccn3)[nH]2)cc1,1.0,1.0
CC(C)Nc1cc(-c2oc3ccccc3c(=O)c2-c2ccc(F)cc2)ccn1,1.0,1.0
CNC1CC2OC(C)(C1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,1.0,1.0
CN(C)c1cc2cc(n1)CCCn1cc(c3ccccc31)C1=C(C(=O)NC1=O)c1cn(c3ccccc13)CCC2,1.0,1.0
Nc1ccc2ncnc(NCCc3ccc(Oc4ccccc4)cc3)c2c1,1.0,1.0
O=c1cc(N2CCNCC2)oc2c(-c3ccccc3)cccc12,1.0,1.0
COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1,1.0,1.0
CN(C)S(=O)(=O)c1ccc2[nH]c(O)c(Cc3cc4c([nH]3)=CCCC=4)c2c1,1.0,1.0
COc1cc2ncc(-c3ccccc3)nc2cc1OC,1.0,1.0
CCN(CC)CCCCN1c2ccccc2Oc2ccc(Cl)cc21,1.0,1.0
CCC(CO)Nc1nc(N=C(N)N)c2ncn(C(C)C)c2n1,1.0,1.0
Nc1ncnc2[nH]nc(Nc3ccc(F)cc3)c12,1.0,1.0
CCOc1nc(NC(=O)Cc2cc(OC)c(S(C)(=O)=O)cc2OC)cc(N)c1Cl,1.0,1.0
CCOC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccccc32)c1C,1.0,1.0
O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,1.0,1.0
CCOc1nc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)cc(N)c1C#N,1.0,1.0
O=c1c(-c2ccc(F)cc2)c(-c2ccnc(NC3CCCCC3)c2)oc2ccccc12,1.0,1.0
O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,1.0,1.0
CC(C)(O)c1ccc(-c2cnc3c(n2)N(CC2CCOCC2)CC(=O)N3)cn1,1.0,1.0
CC(N)C1CCC(C(=O)Nc2ccncc2)CC1,1.0,1.0
CN(C)c1nc2ccc1CCCn1cc(c3ccccc31)C1=C(C(=O)NC1=O)c1cn(c3ccccc13)CC2,1.0,1.0
COc1cc2nccc(Oc3ccc(NC(=S)NC(=O)c4ccccc4C)cc3)c2cc1OC,1.0,1.0
COc1cc(-c2ccc3c(c2)NC(=O)c2ccc(-c4ccccc4NS(C)(=O)=O)cc2N3)cc(OC)c1OC,1.0,1.0
CC#CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1,1.0,1.0
OC1CCC(c2[nH]ncc2-c2ccnc(NC3CCCC3)n2)CC1,1.0,1.0
O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl,1.0,1.0
NCCNc1ncc(C(N)=O)c(Nc2cccc(C(F)(F)F)c2)n1,1.0,1.0
CC(C)N(CCC(=O)c1ccc2ccccc2c1)Cc1ccccc1,1.0,1.0
COC1C=CC=C(C)C(=O)NC2=CC(=O)C=C(C2=O)C(OC)C(C)CC(OC)C(OC)C(C)C=C(C)C1OC(N)=O,1.0,1.0
O=C(O)C=Cc1cc(Br)c(Br)c(Br)c1Br,1.0,1.0
CN1CCC(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)C(O)C1,1.0,1.0
COc1ccc2c(c1)C(=Cc1cnc[nH]1)C(=O)N2,1.0,1.0
NC(=O)c1cccc(-c2cc(Nc3ccc(OC(F)(F)F)cc3)ncn2)c1,1.0,1.0
c1ccc(-c2[nH]ncc2-c2ccnc3ccccc23)nc1,1.0,1.0
O=C1NC(=O)C(=Cc2ccc3c(c2)OC(F)(F)O3)S1,1.0,1.0
Cc1cccc(NC(=O)Nc2ccc(-c3csc4c(C#CCCCCCCCCN)cnc(N)c34)cc2)c1,1.0,1.0
O=c1cc(-c2cccc3c2Sc2ccccc2S3)oc(N2CCOCC2)c1,1.0,1.0
COc1cccc(-c2cc(=O)c3ccccc3o2)c1N,1.0,1.0
CNS(=O)(=O)c1ccccc1Nc1nc(Nc2cc(OC)c(OC)c(OC)c2)ncc1Cl,1.0,1.0
COC1C(N(C)C(=O)CCC(=O)NCCC(=O)NCCC(=O)NCCC(N)=O)CC2OC1(C)n1c3ccccc3c3c4c[nH]c(O)c4c4c5ccccc5n2c4c31,1.0,1.0
Cc1ccccc1-c1c(N)c(C(=O)c2ccc(F)cc2F)cc[n+]1O,1.0,1.0
CCOc1nc(NC(=O)Cc2cc(OC)c(S(C)(=O)=O)cc2OC)cc(N)c1C#N,1.0,1.0
NC(=O)c1ccc(NC2CCCCC2N)nc1Nc1cccc(Cl)c1,1.0,1.0
O=C1c2ccccc2-c2n[nH]c3cccc1c23,1.0,1.0
CC12OC(CC1(O)CO)n1c3ccccc3c3c4c(O)[nH]cc4c4c5ccccc5n2c4c31,1.0,1.0
COc1ccc(OC)c2c(S)c3ccccc3nc12,1.0,1.0
COc1ccc(S(=O)(=O)N(CCO)c2ccccc2CN(C)CC=Cc2ccc(Cl)cc2)cc1,1.0,1.0
Cc1cncc2cccc(S(=O)(=O)N3CCCN(C(=O)CN)CC3C)c12,1.0,1.0
NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCCO4)[nH]2)cc1,1.0,1.0
COc1ccc2c(c[n+](C)c3c4cc5c(cc4ccc23)OCO5)c1OC,1.0,1.0
Oc1nc2ncc(-c3ccc(-c4ncn[nH]4)cc3)nc2n1CCC1CCOCC1,1.0,1.0
Oc1ccc(Nc2nc(-c3ccc(Cl)cc3)cs2)cc1,1.0,1.0
Oc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1,1.0,1.0
Sc1nnc(-c2ccncc2)n1-c1ccc2ccccc2c1,1.0,1.0
C=S(O)(O)=CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,1.0,1.0
O=C1C(Cl)=C(n2c(O)ccc2O)C(=O)c2ccccc21,1.0,1.0
COc1cc(C=C2C(=O)NN(c3ccc(Cl)c(Cl)c3)C2=O)ccc1O,1.0,1.0
CCN(CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1)CCOP(=O)(O)O,1.0,1.0
CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,1.0,1.0
O=C1NC(=O)c2c1c1c3ccccc3[nH]c1c1[nH]c3cc(Br)ccc3c21,1.0,1.0
COc1cc(S(C)(=O)=O)c(OC)cc1CC(=O)Nc1cc(N)c(C#N)c(OC(C)C)n1,1.0,1.0
CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(Cl)cc32)c1C,1.0,1.0
CC(C)C(CO)Nc1nc(Nc2cccc(Cl)c2)c2ncn(C(C)C)c2n1,1.0,1.0
Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NC3CCOCC3)nc21,1.0,1.0
Oc1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,1.0,1.0
NC(=O)c1ccc2[nH]c(-c3ccc(Oc4ccc(Cl)cc4)cc3)nc2c1,1.0,1.0
CN1C(=O)C(c2ccc3ccccc3c2)C(c2ccncc2)=NC1=NCC(N)Cc1ccccc1,1.0,1.0
CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1,1.0,1.0
CC(C)C(CO)Nc1nc(Nc2cc(N)cc(Cl)c2)c2ncn(C(C)C)c2n1,1.0,1.0
N#CC(=Cc1ccc(O)cc1)C(=N)C(C#N)C#N,1.0,1.0
CC(C)(C)c1cc(C=C(C#N)C#N)cc(Br)c1O,1.0,1.0
Cc1cc(C)c(C=C2C(=O)Nc3ccccc32)[nH]1,1.0,1.0
Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,1.0,1.0
CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1,1.0,1.0
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,1.0,1.0
CN(C)CCCn1cc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)c2ccccc21,1.0,1.0
O=C1NC(=O)C2=C1c1cn(c3ccccc13)CCCc1ccc(c(N3CCCC3)n1)CCCn1cc2c2ccccc21,1.0,1.0
NC(=N[N+](=O)[O-])NN=Cc1ccc(-c2cccc([N+](=O)[O-])c2)o1,1.0,1.0
CCOc1nc(NC(C)=O)cc(N)c1C#N,1.0,1.0
O=[N+]([O-])C=Cc1ccc2c(c1)OCO2,1.0,1.0
CC(C)(C)n1nc(-c2ccc(Cl)cc2)c2c(N)ncnc21,1.0,1.0
COc1cc2c(cc1Cl)C(c1ccc(Cl)c(Cl)c1)=NCC2,1.0,1.0
CS(=O)c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,1.0,1.0
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,1.0,1.0
Cc1cc2ncc(-c3ccccc3)nc2cc1C,1.0,1.0
COc1cc2ncnc(Nc3ccc(Oc4ccccc4)cc3)c2cc1OC,1.0,1.0
N#Cc1c(NC(=O)c2cccc3ccccc23)sc2c1CCCC2,1.0,1.0
COc1ccc(CNc2nc(N(CCO)CCO)nc3c2ncn3C(C)C)cc1,1.0,1.0
CN(C)CCNc1cncc(-c2ccc3[nH]cc(-c4ccnc(N)n4)c3c2)n1,1.0,1.0
c1ccc(-c2cnc(Nc3ccc(OCCN4CCCC4)cc3)s2)cc1,1.0,1.0
COC(=O)c1ccc2c(c1)NC(=O)C2C(=Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1,1.0,1.0
CC1CCN(C(=O)CC#N)CC1N(C)c1ncnc2[nH]ccc12,1.0,1.0
O=C1NC(=O)C(=Cc2ccc(-c3ccc(F)cc3O)o2)S1,1.0,1.0
COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1,1.0,1.0
CCC=S(O)(O)=Nc1cccc(Nc2ccc3ncn(C)c(=O)c3c2)c1C#N,1.0,1.0
c1cc(-c2cnn3cc(-c4ccc(OCCN5CCCCC5)cc4)cnc23)ccn1,1.0,1.0
O=C1N=c2ncccc2=C1c1[nH]c2ncccc2c1O,1.0,1.0
N#Cc1cnc2cnc(NCc3cccnc3)cc2c1Nc1ccc(F)c(Cl)c1,1.0,1.0
O=C(O)c1ccc2c3c1cccc3c(=O)n1c3ccccc3nc21,1.0,1.0
COc1ccncc1-c1[nH]nc(O)c1N=Nc1ccccc1,1.0,1.0
CC[n+]1c(C=CN(C)c2ccccc2)n(-c2ccccc2)c2ccc(-c3nc4ccccc4s3)cc21,1.0,1.0
CCCn1c(C2CCNCC2)nc(-c2ccc(Cl)c(Cl)c2)c1-c1ccnc(NC2CCCCC2)n1,1.0,1.0
Cc1cccc(Nc2nc(NC3CCCCC3N)cnc2C(N)=O)c1,1.0,1.0
COc1ccc(COc2ccc(Cc3cnc(N)nc3N)cc2OC)cc1,1.0,1.0
CN(C)CC(=O)N1CCC(c2ccc(NC(=O)c3nc(C#N)c[nH]3)c(C3=CCCCC3)c2)CC1,1.0,1.0
COc1ccc(C=C(C#N)C#N)cc1,1.0,1.0
O=C(Nc1ccc(Cl)cc1)c1ccccc1NCc1ccncc1,1.0,1.0
O=C(c1ccccc1)c1ccc(N2CCOCC2)cc1O,1.0,1.0
Cc1ccc(N=C2CC(=O)c3sc(C)nc3C2=O)cc1,1.0,1.0
Nc1ncnc2c1cnn2-c1ccccc1,1.0,1.0
Nc1cccc(-c2cc3c(Oc4cccc(O)c4)ncnc3[nH]2)c1,1.0,1.0
c1ccc(-c2c[nH]c3ncnc(N4CCCCC4)c23)cc1,1.0,1.0
CNC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCOCC3)cc2OC)ncc1Cl,1.0,1.0
O=C1c2ccccc2-c2nc3nnnn3nc21,1.0,1.0
O=c1c2ccccc2[nH]c(=S)n1CCN1CCC(=C(c2ccc(F)cc2)c2ccc(F)cc2)CC1,1.0,1.0
CCc1nc(-c2ccc(OC)cc2)[nH]c1-c1ccncc1,1.0,1.0
O=C(Nc1nc2ccccc2n1CCN1CCOCC1)c1cccc([N+](=O)[O-])c1,1.0,1.0
COc1cc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2cc1OC,1.0,1.0
COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC,1.0,1.0
Cc1cccc(-c2[nH]c(C(C)(C)C)nc2-c2ccc3c(c2)OCO3)n1,1.0,1.0
O=C1NC(=O)C(c2cn(CCCO)c3ncccc23)=C1c1cnccn1,1.0,1.0
OC1CCC(Nc2cc(Cl)nc(-c3c[nH]c4ncccc34)n2)CC1,1.0,1.0
Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,1.0,1.0
O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ccccc2N1,1.0,1.0
Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1,1.0,1.0
COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)NC(=O)C(C)(C)O4)n2)cc(OC)c1OC,1.0,1.0
O=C1NC(=O)C(=Cc2ccc3nccnc3c2)S1,1.0,1.0
COc1cc(C=C2C(=O)NN(c3ccc(C#N)cc3)C2=O)ccc1O,1.0,1.0
O=C(NC(NC(=S)Nc1ccc(F)c([N+](=O)[O-])c1)C(Cl)(Cl)Cl)C(c1ccccc1)c1ccccc1,1.0,1.0
CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,1.0,1.0
CCOc1nc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)cc(N)c1Cl,1.0,1.0
Cc1nc2cc3nc(-c4cccs4)cnc3cc2n1C,1.0,1.0
CC12OC(CC1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,1.0,1.0
CCC1CC(=N[SH](O)(O)=C2CC2)CC1c1ncc2cnc3[nH]ccc3n12,1.0,1.0
N#Cc1c(NC(=O)c2cccc3ccccc23)sc2c1CCCN2C(=O)C1CC1,1.0,1.0
N#CC(C(=N)Sc1ccc(N)cc1)c1ccccc1C(F)(F)F,1.0,1.0
CC(C)c1nn(-c2c(Cl)cccc2Cl)c2nc(Cc3ccc(OCCO)cc3)nc(O)c12,1.0,1.0
CN(c1ncccc1CNc1nc(Nc2ccc3[nH]c(O)cc3c2)ncc1C(F)(F)F)S(C)(=O)=O,1.0,1.0
Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1,1.0,1.0
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,1.0,1.0
CCC1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1,1.0,1.0
CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,1.0,1.0
CCOc1nc(NC(=O)Cc2cc(OC)ccc2OC)cc(N)c1C#N,1.0,1.0
c1ccc2c(-c3ccncc3)c[nH]c2c1,1.0,1.0
CN(C)CC(=O)N1CCC(c2ccc(NC(=O)c3ncc(C#N)[nH]3)c(C3=CCCCC3)c2)CC1,1.0,1.0
N#CC(C(=N)SC1C=CC=CC1)c1cccc(C(O)c2ccncc2)c1,1.0,1.0
Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,1.0,1.0
O=c1[nH]c2ccccc2n1C1CCN(Cc2ccc(-c3nc4cc5[nH]cnc5cc4nc3-c3ccccc3)cc2)CC1,1.0,1.0
Cc1ccc(S(=O)(=O)C=CC#N)cc1,1.0,1.0
COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(O)C(OC)C2)CC(=O)C(C)=CC(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C,1.0,1.0
COc1ccc(Cl)cc1NC(=O)Nc1cc(C)nc2ccccc12,1.0,1.0
COc1cc2ncnc(N3CCN(C(=O)Nc4ccc(Oc5ccccc5)cc4)CC3)c2cc1OC,1.0,1.0
Cn1sc(=O)n(Cc2ccccc2)c1=O,1.0,1.0
Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)c1c(F)cccc1F,1.0,1.0
COc1cc2ncnc(Nc3ccc(NC(=O)c4ccccc4)cc3)c2cc1OC,1.0,1.0
C=C1C(=Cc2c(O)[nH]c3ccc(S(=O)(=O)N(C)c4cccc(Cl)c4)cc23)CC(C)=C1C(=O)N1CCN(C)CC1,1.0,1.0
CN(C)c1ccc(CC2=c3ccccc3=NC2=O)cc1,1.0,1.0
N#CC(c1ccnc(NCCc2cccnc2)n1)c1nc2ccccc2s1,1.0,1.0
Cn1cc(-c2cnc(N)c3c(-c4ccc(NC(=O)Nc5cccc(F)c5)cc4)csc23)cn1,1.0,1.0
CCOc1nc(C(=O)NCc2ccccc2S(N)(=O)=O)cc(N)c1C#N,1.0,1.0
CCN1C(=O)C(C)(C)c2cc3[nH]c4c(c3cc21)CCCc1c-4n[nH]c1C,1.0,1.0
COC1C(N(C)C(=O)c2ccccc2)CC2OC1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,1.0,1.0
CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1,1.0,1.0
CCn1cnc2c(Nc3cccc(Cl)c3)nc(NC3CCCCC3N)nc21,1.0,1.0
O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1,1.0,1.0
CC(=O)c1ccc(N2CCOCC2)cc1O,1.0,1.0
O=C1C=CC(c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)=CC1,1.0,1.0
O=C1NN(c2ccc(Cl)c(Cl)c2)C(=O)C1=Cc1ccc(O)c([N+](=O)[O-])c1,1.0,1.0
CC(=O)Nc1cc(N)c(C#N)c(-c2ccccc2)n1,1.0,1.0
Oc1cc(O)cc(C=Cc2ccc(O)c(O)c2)c1,1.0,1.0
O=c1cc(N2CCOCC2)oc2c1ccc1ccccc12,1.0,1.0
CCc1ccc(-c2ccc3c(c2)-c2[nH]ncc2S(=O)(=O)N3C)cc1,1.0,1.0
Oc1[nH]c2ccc(Br)cc2c1Cc1cc2c([nH]1)=CCCC=2,1.0,1.0
COc1ccc(-c2cnc3c(-c4ccsc4)cnn3c2)cc1,1.0,1.0
